DPE,Code,UKDPENumber
Belfast,GBBEL1,UK DP 01
Belfast City Council,GBBEL1P,
Bristol,GBBRS1,UK DP 23
Dard (feed),GB00004,
Doncaster,GBDSA4P,UK DP 28
Dover,GBDOV1P,UK DP 02
East Midlands,GBEMA4,UK DP 26
Felixstowe,GBFXT1,UK DP 03
Gatwick,GBLGW1,UK DP 04
Grimsby,GBGSY1,UK DP 19
Heathrow,GBLHR4,UK DP 06
Hull,GBHUL1,UK DP 07
Liverpool,GBLIV1,UK DP 09
London Gateway,GBLGP1,UK DP 25
London Thamesport,GBTHP1,UK DP 11
London Tilbury,GBTIL1,UK DP 10
Manchester,GBMNC4,UK DP 13
Portsmouth,GBPME1P,UK DP 20
Southampton,GBSOU1,UK DP 17
Stansted,GBSTN4,UK DP 21
Teesport,GBTEE1P,UK DP 18
Tyne,GBTYN4P,UK DP 23
